implementation,platform,object,n1,n2,dtype,mean_total_s,std_total_s,mean_kernel_s,mean_transfer_s,mean_peak_mem_mb,n_runs
PyTorch CPU,Kaggle,vase,1250,5000,float64,8.314418181200153,0.048914739346812314,6.196985761799942,2.642000708874548e-07,9019.80859375,10
PyTorch CUDA,Colab,banana,300,1200,float32,0.16661330340004948,0.011572050207063846,0.01123575649997968,0.09783503200004576,208.46435546875,10
PyTorch CUDA,Colab,banana,300,1200,float64,0.2606914896999683,0.004389993707258981,0.022060103599994767,0.18849953120001137,404.85009765625,10
PyTorch CUDA,Colab,banana,625,2500,float32,0.56212499479999,0.0718770798995592,0.04403283549999055,0.45538573569997426,869.5927734375,10
PyTorch CUDA,Colab,banana,625,2500,float64,1.0124300132999793,0.08704422551083421,0.08820469189997761,0.8653396687000054,1727.9423828125,10
PyTorch CUDA,Colab,banana,1250,5000,float32,1.9788893498999756,0.1507849162688021,0.17603242169999475,1.7335909669999865,3444.63525390625,10
PyTorch CUDA,Colab,banana,1250,5000,float64,3.8416021882999987,0.1629472677164778,0.37047996399999195,3.391101758900015,6879.62548828125,10
PyTorch CUDA,Colab,apple,300,1200,float32,0.19687778769989558,0.00669838769189581,0.01345996549997602,0.12203801999996804,262.55517578125,10
PyTorch CUDA,Colab,apple,300,1200,float64,0.3202102714000148,0.007452425129601733,0.02675554340000868,0.23725779919998322,515.02392578125,10
PyTorch CUDA,Colab,apple,625,2500,float32,0.6283396614999333,0.008034189167504955,0.05370912429998494,0.5148466681999935,1107.22216796875,10
PyTorch CUDA,Colab,apple,625,2500,float64,1.2457973882000828,0.10304105028784515,0.10709081279999275,1.073574178600029,2205.9833984375,10
PyTorch CUDA,Colab,apple,1250,5000,float32,2.427134693500011,0.11984438248728996,0.22086534320000056,2.130298092600003,4399.71337890625,10
PyTorch CUDA,Colab,apple,1250,5000,float64,4.8345977006,0.21184624928471826,0.4715105198999936,4.256807792000029,8788.27197265625,10
