platform,label,dtype,n2,backend,device,Total_Time_mean,Total_Time_std,Curves_Time_mean,Curves_Time_std,Tangents_Time_mean,Tangents_Time_std,Surface_Time_mean,Surface_Time_std,Speedup_vs_Python_CPU
Kaggle,vase,float32,2500,Numba,CPU,1.203211253,0.036126395,0.002863439,0.00017408,0.003328986,0.00015475,1.174708032,0.035769371,3.664812193208436
Kaggle,vase,float32,2500,Numba,GPU,0.052314593,0.010338225,0.002373078,0.000138697,0.002730717,0.000242847,0.016515996,4.35e-05,84.28897212294092
Kaggle,vase,float32,2500,Python,CPU,4.409543271,0.032924199,1.007013538,0.015373702,1.405460058,0.024182735,1.974136897,0.022849068,1.0
Kaggle,vase,float32,2500,TensorV,CPU,1.176489754,0.016878874,0.026962247,0.003595159,0.005433856,0.000818758,0.836134058,0.016041811,3.7480507212305056
Kaggle,vase,float32,2500,TensorV,GPU,0.0603112,0.000713923,0.042801251,0.000385781,0.005179741,0.000408763,0.002347738,0.000150968,73.11317418655241
Kaggle,vase,float32,5000,Numba,CPU,3.637730446,0.09262397,0.003537118,0.000906828,0.006155314,0.000342893,3.586440919,0.091675763,2.9378012716008697
Kaggle,vase,float32,5000,Numba,GPU,0.129146221,0.01430273,0.002583419,0.000100209,0.005352359,0.000680021,0.06895236,0.002536202,82.75061435982705
Kaggle,vase,float32,5000,Python,CPU,10.68692913,0.090508811,1.993323387,0.018606293,2.790794849,0.025966696,5.858985014,0.076180628,1.0
Kaggle,vase,float32,5000,TensorV,CPU,4.999509409,0.025585369,0.025748615,0.000848661,0.007204743,0.000437566,3.772185397,0.022794368,2.1375955630289725
Kaggle,vase,float32,5000,TensorV,GPU,0.089929033,0.00133378,0.042881664,0.000828745,0.010720298,0.000829059,0.014075011,0.000336289,118.83736290147809
Kaggle,vase,float64,1200,Numba,CPU,0.509510131,0.019808149,0.002754608,0.000288071,0.001913366,0.000219379,0.492663936,0.019814184,3.118866992656521
Kaggle,vase,float64,1200,Numba,GPU,0.022793681,0.002516191,0.001932837,9.17e-05,0.001323538,5.19e-05,0.003766146,5.2e-05,69.7164415874733
Kaggle,vase,float64,1200,Python,CPU,1.58909433,0.037092433,0.212445526,0.013522713,0.61956797,0.01943702,0.744063931,0.015452462,1.0
Kaggle,vase,float64,1200,TensorV,CPU,0.529549675,0.00970303,0.0224723,0.000721477,0.004240476,9.47e-05,0.359005128,0.008316395,3.000840912611267
Kaggle,vase,float64,1200,TensorV,GPU,0.060096522,0.001009331,0.043119077,0.000599978,0.004495587,0.000157733,0.002270153,6.54e-05,26.442367663140306
Kaggle,vase,float64,2500,Numba,CPU,1.410224266,0.03900081,0.002989355,0.000333895,0.003375361,0.000215631,1.382226475,0.038692524,2.6898269824552856
